10.6868	31.3879	45.9956	-3.5529	0.978483	0.0163502
10.6343	31.4323	45.8092	-3.55487	0.977501	0.0140813
10.6946	31.3785	45.8554	-3.56055	0.973302	0.0170472
10.6942	31.3878	45.8594	-3.56072	0.972946	0.0176666
10.6732	31.4816	45.7598	-3.56026	0.971523	0.0187973
10.6402	31.5063	45.5923	-3.5599	0.977082	0.0163362
10.6372	31.4261	45.5552	-3.55976	0.982405	0.0155565
10.6826	31.4168	45.6187	-3.55911	0.982814	0.0165141
10.6525	31.475	45.5648	-3.55658	0.97774	0.016151
10.626	31.4912	45.3875	-3.55578	0.978387	0.0141705
10.6153	31.441	45.3065	-3.55872	0.983416	0.0127783
10.6779	31.3947	45.4234	-3.56128	0.988333	0.0144366
10.6515	31.4548	45.485	-3.56047	0.986231	0.0168524
10.5296	31.5708	45.2884	-3.55433	0.976553	0.0171553
10.5158	31.5817	45.2487	-3.55427	0.975742	0.0169748
10.4481	31.6216	45.0815	-3.55723	0.96937	0.0143587
10.418	31.5863	45.0991	-3.56477	0.962446	0.0127545
10.4594	31.574	45.2298	-3.57638	0.955246	0.013733
10.4588	31.6295	45.4014	-3.58488	0.949233	0.016006
10.4088	31.7385	45.4552	-3.58816	0.942228	0.0179227
10.3335	31.8331	45.3472	-3.58548	0.936619	0.0178918
10.2986	31.848	45.1856	-3.58524	0.934088	0.0165157
10.3153	31.7948	45.2512	-3.5871	0.930336	0.0171499
10.2245	31.9192	45.1584	-3.58945	0.923637	0.0162415
10.2016	31.9089	45.1541	-3.59101	0.923969	0.0156319
10.2245	31.8324	45.2397	-3.59477	0.924721	0.015395
10.2112	31.877	45.2855	-3.59244	0.921485	0.0160521
10.1456	31.8724	45.0967	-3.58639	0.920289	0.0150713
10.1444	31.7492	45.0602	-3.58131	0.919305	0.0144918
10.157	31.7315	45.1213	-3.57681	0.915927	0.0159123
10.1091	31.7786	45.0018	-3.57347	0.913748	0.0149386
